corS1,corS2,corP1,corP2,group,self,corSall,corPall,rtS,rtP
0.888888888888889,0.638888888888889,0.777777777777778,0.666666666666667,1,1,0.763888888888889,0.722222222222222,1.3795,1.56054999995232
0.833333333333333,0.638888888888889,0.666666666666667,0.555555555555556,1,1,0.736111111111111,0.611111111111111,1.32440000000037,1.14779999999981
0.888888888888889,0.944444444444444,0.805555555555556,0.916666666666667,1,1,0.916666666666667,0.861111111111111,2.1905,2.185
0.833333333333333,0.805555555555556,0.888888888888889,0.916666666666667,1,1,0.819444444444444,0.902777777777778,2.68399999999988,2.45399999999988
0.861111111111111,0.944444444444444,0.888888888888889,0.861111111111111,1,1,0.902777777777778,0.875,3.023,3.1845
0.472222222222222,0.666666666666667,0.527777777777778,0.5,1,1,0.569444444444444,0.513888888888889,0.876249999761581,0.766599999904633
0.833333333333333,0.638888888888889,0.777777777777778,0.75,1,1,0.736111111111111,0.763888888888889,1.91405000000447,2.02725
0.944444444444444,0.805555555555556,0.833333333333333,0.861111111111111,1,1,0.875,0.847222222222222,1.53314999997616,1.44054999995232
0.916666666666667,0.777777777777778,0.833333333333333,0.916666666666667,1,1,0.847222222222222,0.875,1.26320000004768,1.28910000014305
0.638888888888889,0.694444444444444,0.777777777777778,0.694444444444444,1,1,0.666666666666667,0.736111111111111,0.8445,1.038
0.666666666666667,0.555555555555556,0.805555555555556,0.638888888888889,1,1,0.611111111111111,0.722222222222222,1.1015,1.077
0.833333333333333,0.694444444444444,0.833333333333333,0.722222222222222,1,1,0.763888888888889,0.777777777777778,0.968549999952316,1.26014999997616
0.916666666666667,0.861111111111111,0.944444444444444,0.888888888888889,1,1,0.888888888888889,0.916666666666667,1.45775,1.55409999999998
0.944444444444444,0.916666666666667,0.916666666666667,0.916666666666667,1,1,0.930555555555556,0.916666666666667,2.26930000007153,2.27964999997616
0.916666666666667,0.916666666666667,0.916666666666667,0.916666666666667,1,1,0.916666666666667,0.916666666666667,1.75625,1.93509999999963
