m4,m3,m2,m1,N,p1,p2,p3,p4,m0.5,p0.5,group,self
0,0,0.142857142857143,0.111111111111111,0.608695652173913,0.454545454545455,0.888888888888889,0.666666666666667,1,0.444444444444444,0.472222222222222,1,1
0,0.333333333333333,0.285714285714286,0.222222222222222,0.608695652173913,0.818181818181818,0.888888888888889,0.666666666666667,1,0.416666666666667,0.722222222222222,1,1
0,0,0,0.222222222222222,0.608695652173913,0.727272727272727,1,1,1,0.305555555555556,0.75,1,1
0,0,0.142857142857143,0.222222222222222,0.652173913043478,0.909090909090909,0.888888888888889,1,1,0.444444444444444,0.694444444444444,1,1
0,0,0,0.222222222222222,0.478260869565217,0.727272727272727,1,1,1,0.361111111111111,0.611111111111111,1,1
0,0.333333333333333,0.285714285714286,0.444444444444444,0.347826086956522,0.454545454545455,0.333333333333333,0.333333333333333,1,0.222222222222222,0.527777777777778,1,1
0,0.166666666666667,0,0.444444444444444,0.739130434782609,0.636363636363636,0.888888888888889,0.666666666666667,1,0.5,0.638888888888889,1,1
0,0,0.142857142857143,0.111111111111111,0.565217391304348,0.727272727272727,1,1,1,0.361111111111111,0.666666666666667,1,1
0,0,0,0.222222222222222,0.391304347826087,0.818181818181818,0.888888888888889,1,1,0.361111111111111,0.555555555555556,1,1
0,0.166666666666667,0.428571428571429,0.444444444444444,0.608695652173913,0.636363636363636,0.888888888888889,1,1,0.555555555555556,0.611111111111111,1,1
0,0.166666666666667,0.142857142857143,0.444444444444444,0.478260869565217,0.636363636363636,0.777777777777778,1,1,0.611111111111111,0.388888888888889,1,1
0,0.166666666666667,0.142857142857143,0.111111111111111,0.565217391304348,0.272727272727273,1,1,1,0.416666666666667,0.5,1,1
0,0,0,0.111111111111111,0.478260869565217,1,0.888888888888889,1,1,0.388888888888889,0.611111111111111,1,1
0,0.333333333333333,0,0,0.608695652173913,0.909090909090909,1,0.666666666666667,1,0.361111111111111,0.722222222222222,1,1
0,0,0,0.111111111111111,0.478260869565217,0.909090909090909,1,1,1,0.388888888888889,0.611111111111111,1,1
0,0.5,0.428571428571429,0.555555555555556,0.521739130434783,0.818181818181818,0.666666666666667,1,0.5,0.638888888888889,0.527777777777778,1,1
0,0,0.285714285714286,0.111111111111111,0.652173913043478,0.909090909090909,0.888888888888889,0.666666666666667,1,0.583333333333333,0.527777777777778,1,1
0,0,0,0.222222222222222,0.608695652173913,0.818181818181818,0.888888888888889,1,1,0.472222222222222,0.583333333333333,1,1
1,1,1,0.777777777777778,0.782608695652174,0.909090909090909,0.777777777777778,0.666666666666667,1,0.75,0.944444444444444,1,1
0,0,0.142857142857143,0.111111111111111,0.304347826086957,0.363636363636364,0.333333333333333,0.333333333333333,0.5,0.0277777777777778,0.472222222222222,1,1
1,0.333333333333333,0.571428571428571,0.777777777777778,0.608695652173913,1,1,1,1,0.777777777777778,0.722222222222222,1,1
0,0,0.142857142857143,0.222222222222222,0.608695652173913,0.727272727272727,0.777777777777778,0.666666666666667,1,0.333333333333333,0.666666666666667,1,1
0,0,0,0.444444444444444,0.521739130434783,0.636363636363636,0.888888888888889,0.666666666666667,1,0.333333333333333,0.666666666666667,1,1
0,0,0.142857142857143,0.111111111111111,0.608695652173913,0.727272727272727,1,1,1,0.361111111111111,0.694444444444444,1,1
0,0.333333333333333,0.428571428571429,0.555555555555556,0.521739130434783,0.636363636363636,0.444444444444444,0.333333333333333,1,0.5,0.5,1,1
