c,p_flip,s_flip,S-TimePos,Pa-TimePos,p_flip==s_flip,abs-VD,group,self
7.36364871076099,0.0403117023160124,0.00248960796389841,-0.0661722067628476,-0.0253536886394269,0.00987421034581312,-0.0702092740941131,1,1
7.16992332819694,-0.0132586298213948,0.023327163323561,0.0386008286912233,-0.0524023351861252,0.0197509595745368,-0.0555693815783794,1,1
7.73846011828872,0.0768479273168627,-0.0104934163709571,-0.0693879810915848,-0.0643406768678272,-0.0714420940850388,-0.125960309749496,1,1
7.82069359068782,0.0152975929424435,0.00431084940295692,0.0196669366385825,0.0113862018984398,-0.0354674095914296,-0.0598818080909265,1,1
8.00875312221402,0.0040877367531852,-0.00660153193153366,0.0229927233643981,-0.00633434253384467,-0.032662214381045,-0.0450629665426956,1,1
6.87436586517298,-0.00975437601958247,0.13938284042197,0.0463815215330634,0.0180734488879417,-0.0283819876487379,0.027682187168612,1,1
7.62313408844761,-0.0342487356948686,0.0194272805472743,0.0437919835499817,-0.0530005238001285,0.058145662431305,-0.0727155239434075,1,1
7.3374455171285,-0.0195480833119433,0.010429725154033,-0.0493665539055921,0.000142828642227361,-0.0717196831090401,-0.148840062212143,1,1
7.18306993726289,-0.00940977942826834,0.0531529686861338,-0.0337643287287756,0.0199437634835754,-0.0253292401112136,-0.105639447644792,1,1
6.84744745060525,0.0512662890402563,0.0124696760615561,-0.0480043355865952,0.0118839180645737,-0.0494687631306466,-0.021675107340529,1,1
7.07181418960078,-0.0249698694868477,0.0423245916776357,0.0281426653447676,0.10298343815239,0.0141047358239685,-0.104892722515702,1,1
7.02304152914841,0.0125911848780388,-0.00985457588541824,-0.00146040144789477,0.00877872462531065,0.00216185730959842,-0.0732994045317424,1,1
7.37554036487275,0.0591591454187217,0.0602903969069477,0.0425361583160972,0.0385259741550821,0.0522320913529694,-0.127918471155659,1,1
7.74904544695718,0.0106666712040833,-0.00424843826746211,0.0612144107423058,0.0509900115054483,0.021145292431999,-0.100585418600914,1,1
7.53728646639964,-0.0466336553514455,-0.0510543220904157,0.095931210502434,0.0220843444170601,-0.027408556114194,-0.124360891665468,1,1
6.90815908071458,0.105684869495857,-0.00968382014566835,-0.0383706276103063,-0.0358410099452674,0.0128629906524046,0.0222451225860892,1,1
6.98759429847256,-0.0282243284966145,-0.0510774465994547,-0.0129625755681696,-0.0290700373419285,-0.0578847261481903,0.00244333505561117,1,1
