S_cor,S_rt,P_cor,P_rt,G_cor,G_rt,S1_cor,S1_rt,P1_cor,P1_rt,G1_cor,G1_rt,S2_cor,S2_rt,P2_cor,P2_rt,G2_cor,G2_rt
0.6875,1.5232,0.57292,1.6926,0.6875,1.3751,0.75,1.4891,0.60417,1.5886,0.64583,1.3744,0.625,1.5574,0.54167,1.7966,0.72917,1.3758
0.82292,1.6277,0.72917,1.8548,0.79167,1.5146,0.85417,1.6143,0.77083,1.936,0.77083,1.7235,0.79167,1.6411,0.6875,1.7736,0.8125,1.3057
0.63542,2.1716,0.71875,2.2477,0.70833,2.3963,0.64583,2.104,0.6875,2.0671,0.625,2.2448,0.625,2.2393,0.75,2.4282,0.79167,2.5478
0.75,2.5661,0.69792,3.2764,0.76042,2.9202,0.75,2.6168,0.70833,3.9476,0.77083,3.896,0.75,2.5153,0.6875,2.6053,0.75,1.9444
0.75,3.8308,0.71875,4.6225,0.70833,5.0383,0.79167,3.3494,0.70833,3.853,0.6875,4.4599,0.70833,4.3123,0.72917,5.392,0.72917,5.6166
0.91667,2.0045,0.91667,2.1294,0.91667,1.6997,0.9375,2.2988,0.875,2.3912,0.875,1.832,0.89583,1.7103,0.95833,1.8676,0.95833,1.5674
0.9375,2.2447,0.95833,2.422,0.96875,2.5891,0.97917,2.0034,0.97917,2.0984,0.97917,2.546,0.89583,2.486,0.9375,2.7457,0.95833,2.6323
0.8125,2.287,0.80208,2.4873,0.83333,2.8186,0.8125,2.2876,0.85417,2.4902,0.75,3.2266,0.8125,2.2864,0.75,2.4844,0.91667,2.4106
0.72917,1.5703,0.70833,1.6919,0.72917,1.5401,0.8125,1.4817,0.72917,1.67,0.66667,1.7208,0.64583,1.6589,0.6875,1.7138,0.79167,1.3594
0.82292,2.3407,0.77083,2.8344,0.8125,2.5992,0.77083,2.3143,0.6875,2.9155,0.875,2.8592,0.875,2.367,0.85417,2.7534,0.75,2.3391
0.78125,3.3357,0.73958,3.3319,0.79167,3.1406,0.8125,3.3377,0.77083,2.9738,0.83333,3.1839,0.75,3.3337,0.70833,3.6899,0.75,3.0972
0.82292,2.7327,0.78125,3.4465,0.75,2.994,0.8125,2.3391,0.75,3.28,0.72917,2.7618,0.83333,3.1264,0.8125,3.613,0.77083,3.2263
0.77083,1.6106,0.71875,1.8827,0.78125,1.5703,0.77083,1.7864,0.79167,2.0754,0.75,1.7097,0.77083,1.4347,0.64583,1.69,0.8125,1.431
0.6875,1.935,0.59375,2.1261,0.70833,1.8772,0.75,1.8892,0.60417,1.925,0.6875,1.7041,0.625,1.9808,0.58333,2.3271,0.72917,2.0502
0.80208,2.7001,0.88542,2.6347,0.82292,2.703,0.79167,2.4745,0.85417,2.7941,0.875,3.1125,0.8125,2.9257,0.91667,2.4753,0.77083,2.2935
0.69792,3.479,0.72917,4.2763,0.77083,4.483,0.70833,3.8144,0.72917,4.799,0.83333,4.9669,0.6875,3.1437,0.72917,3.7536,0.70833,3.9992
0.77083,2.312,0.72917,2.5314,0.77083,2.3962,0.8125,2.1092,0.79167,2.4739,0.83333,2.3593,0.72917,2.5148,0.66667,2.5889,0.70833,2.433
0.78125,1.8343,0.75,2.0037,0.75,2.0372,0.85417,1.6363,0.83333,1.9438,0.85417,2.3175,0.70833,2.0324,0.66667,2.0636,0.64583,1.7569
0.625,2.5531,0.64583,2.4598,0.65625,2.4468,0.625,2.6198,0.66667,2.6718,0.72917,2.7401,0.625,2.4865,0.625,2.2478,0.58333,2.1534
0.67708,1.9385,0.72917,2.1468,0.76042,1.8491,0.6875,1.8494,0.77083,2.0426,0.72917,1.7981,0.66667,2.0277,0.6875,2.251,0.79167,1.9001
0.83333,1.5803,0.89583,1.5382,0.89583,1.0494,0.85417,1.4413,0.89583,1.4837,0.875,1.2163,0.8125,1.7193,0.89583,1.5926,0.91667,0.8826
