Sglm1-c,Sglm1-S,Sglm1-P,Sglm1-Or,Sglm1-Oi,Sglm1-bonus,Sglm2-c,Sglm2-S,Sglm2-P,Sglm2-Or,Sglm2-Oi,Sglm2-bonus,Pglm1-c,Pglm1-S,Pglm1-P,Pglm1-Or,Pglm1-Oi,Pglm1-bonus,Pglm2-c,Pglm2-S,Pglm2-P,Pglm2-Or,Pglm2-Oi,Pglm2-bonus,Gglm1-c,Gglm1-S,Gglm1-P,Gglm1-O1,Gglm1-O2,Gglm1-bonus,Gglm2-c,Gglm2-S,Gglm2-P,Gglm2-O1,Gglm2-O2,Gglm2-bonus
0.02665,0.86867,0.17955,-0.68843,-0.21011,0.37382,0.48739,0.65879,-0.30693,-0.29504,0.10409,0.30657,0.11401,0.54426,1.1379,-0.22683,-0.053933,0.65201,-0.41109,0.33515,0.96721,-0.44289,0.27479,0.41034,0.66604,0.57024,0.52259,-0.58214,-0.5933,0.80795,-0.19863,0.24418,1.0516,0.04333,-0.56353,1.1923
0.29183,0.41132,0.71984,-0.29092,0.37752,0.41459,-1.1885,0.33635,0.064947,-0.28761,-0.35626,0.91637,-0.40282,0.31738,0.86952,-0.33794,-0.038654,1.3892,-0.19807,-0.34217,0.5613,-0.38199,-0.12898,0.71947,0.32525,0.26964,0.73572,-0.35199,-0.37552,1.6452,-0.19375,0.52349,0.75578,-0.1804,0.0088058,1.6393
0.40442,0.4634,0.18307,-0.18211,-0.069251,1.0742,0.70806,0.37835,0.16564,-0.1053,-0.23805,1.2359,0.49254,-0.11957,0.011201,-0.69295,-0.34272,1.2647,-0.13698,-0.26111,0.56143,-0.49864,-0.29884,1.2186,0.93197,0.68337,-0.20077,0.10215,0.15672,1.546,1.1837,0.84254,-0.33555,-0.70813,0.32563,1.8854
0.87642,0.88653,0.32985,-0.92005,-0.29199,0.21225,0.5365,1.1608,-0.066976,-1.0187,-0.018337,0.63145,0.39115,0.61304,0.38925,-0.77613,0.15283,0.86507,-0.051968,0.50402,0.4386,-0.73779,0.099751,0.91179,-0.066767,0.6393,0.77703,-0.39715,-0.5673,1.0947,0.30223,0.85292,0.29029,-0.82029,-0.35325,1.3533
0.22719,0.39723,0.27748,-1.043,-0.34358,0.62535,-0.47245,0.56107,0.22157,-1.1685,0.028774,0.52611,0.24391,0.11852,1.2926,-0.95814,-0.5103,0.081113,0.79925,-0.11719,1.039,-0.42032,-0.3287,0.6748,0.60782,0.32993,0.42772,-0.57075,-0.71242,0.76335,-0.08647,1.0829,0.69333,-0.59835,-1.1177,0.94937
0.30358,0.73197,-0.34844,-1.1451,-0.35015,0.76662,-0.78791,0.29502,-0.29931,-1.217,-0.054207,0.62687,0.50852,-0.082631,0.70209,-0.49837,-0.29385,0.30723,0.23458,0.21386,0.7008,-0.68583,0.18657,0.50834,0.33054,0.67423,0.76983,-0.8312,-0.4052,0.71111,0.22409,0.64268,0.29475,-0.4036,-0.8357,0.55585
-2.0222,0.0059526,0.1013,-0.31769,0.34402,1.0642,-0.72444,-0.35531,0.13226,0.38511,-0.25832,1.6339,-1.5151,-0.058185,0.27341,-0.0028522,-0.2048,1.0626,-0.20608,0.26801,-0.18057,0.077705,-0.14767,1.6405,-0.47299,0.42506,0.033002,-0.045937,0.44708,1.7233,-1.6352,-0.010785,0.57952,-0.7878,0.75218,1.5045
0.29282,0.61587,-0.073472,-0.0033601,-0.52186,0.49356,-0.9039,0.24359,0.40601,-0.14034,-0.38037,1.2708,-0.62921,-0.92612,0.42003,-0.064776,0.29924,1.1288,-0.31902,0.44359,0.44525,-0.30757,-0.08108,0.73952,-0.094677,0.26613,0.418,0.033429,-0.53443,0.85995,-0.68951,0.36951,-0.28839,0.0010771,-0.34943,1.1683
0.1772,0.70686,0.34735,-0.57181,-0.75687,0.54126,-0.0078103,0.72659,0.094234,-1.3634,-0.46192,0.57264,0.12915,0.39889,0.33763,-0.91669,-0.55779,1.0206,0.041955,0.51731,1.0076,-1.0272,0.064787,0.76626,0.037638,0.974,0.78762,-0.89076,-1.0528,-0.31536,0.27115,0.65829,0.44144,-1.0957,-1.2322,0.13222
-0.22969,1.3461,-0.049804,-0.68464,0.1112,0.28039,-0.19761,0.35478,0.28469,-0.093371,-0.31007,0.91763,-1.0779,0.2578,0.95492,-0.40246,0.42349,0.57873,-1.1047,0.41943,0.28028,-0.512,0.13728,0.70509,-0.6705,1.3236,0.49691,-0.53754,-0.56098,0.55216,-0.16872,0.97027,1.1401,-0.78816,-0.55094,1.46
