schedule,cons_test,p1_test,p2_test,p3_test,p4_test,bonus_test,pre3,post3
pre4post4,0.286950198659107,0.456774134637156,0.427673916331906,0.564862354007009,0.62784303388608,0.194998238352675,0,0
pre4post4,0.846968718687567,-0.48359748940287,-0.492988499387663,0.0433582676522785,0.0758422395466531,0.982702140178908,0,0
pre4post4,1.00072004776341,0.28708053256831,-0.0418928342089954,-0.115410863284537,0.571779094526547,-0.13791685734099,0,0
pre4post4,0.458081428823711,0.718187547118347,0.512435354995689,0.890724171627429,0.182861999128868,0.52577991688996,0,0
pre4post4,0.47847707052315,1.10738840673047,0.386101943250939,0.40522700049026,0.800986460960272,0.12886985529362,0,0
pre4post4,0.420949230564725,0.1941731950505,0.374186365299009,-0.417564412392738,0.259876075431886,0.468077357012637,0,0
pre4post4,-0.0439443131226947,0.590195563288673,0.502189477229815,0.671636870166323,0.843960526208105,0.245957329318315,0,0
pre4post4,1.61813517982153,-0.145913310071279,0.0582518204789034,0.563706096303573,0.289010550230213,0.216755732001666,0,0
pre4post4,0.0394526728994758,-0.162492376039054,-0.0178610961722179,0.183285351340419,0.0419046616494941,1.66049746288599,0,0
pre4post4,1.05239949745304,0.649321585971144,0.883199681781026,0.561833154318551,0.709690212545834,-0.0370625906088929,0,0
pre4post4,-0.0370985022245498,0.923958924030349,0.501668916585729,0.211516776689953,0.281437218334365,0.382233575942789,0,0
pre4post4,0.337702133598485,0.797786238333009,0.416334958213074,0.434341498139292,0.680243375571238,-0.487112405455556,0,0
pre4post4,0.13667022730048,1.2515348219742,0.329924272422696,0.512393188834536,0.556834366658252,0.336212176904576,0,0
pre4post4,0.0255284352077288,0.0959024555250933,-0.22873396709488,0.0230194283196638,0.0989217518075195,1.38366655847463,0,0
pre4post4,-0.153878606827465,-0.231853062144648,-0.0723232370570398,0.0735093614418274,0.577515926307813,0.273996995636543,0,0
pre4post4,0.254210605674157,0.706767244785025,0.63829239084118,0.548701274041796,0.674126162567716,0.701161150774933,0,0
pre4post4,-0.312795118590214,0.681577914087775,0.158477173449587,0.388287714191165,0.10623029500429,0.754185800957827,0,0
pre4post4,-0.438557276268773,0.0657452222723938,-0.0382419028640247,-0.209482535443353,-0.297016534041617,0.562789118187293,0,0
pre4post4,-0.586603646852295,-0.0705381543900599,0.187889073085766,-0.665161127254027,0.276971679071437,0.331090073797994,0,0
pre4post4,0.372712700977436,0.604205067996461,-0.508668821670572,0.665446654751764,0.811900649184791,-0.00249723924790513,0,0
pre4post4,-0.138379321416574,-0.327309618983746,-0.416761008847865,0.165735073612677,-0.0420494361312766,-0.010591267786946,0,0
pre4post4,0.293935329008163,0.971662734888713,0.567044097332698,0.280403150524764,0.789761539266483,-0.235934181094648,0,0
pre4post4,0.126848397192394,0.389770899878685,-0.136929446099211,-0.142420116346917,0.562303925546351,0.672385360592239,0,0
pre4post4,0.718605254685559,0.969267987798374,0.382583038511124,0.587757917139019,0.951124209228698,-0.00512462482989989,0,0
pre4post4,-0.129195426524296,-0.49396613172828,-0.293742424514094,0.0617075841899212,-0.335358505538561,0.157705350533492,0,0
pre4post4,0.3249427421864,1.21797595327316,0.285686892479265,0.641146189237486,0.694684081452779,0.241573938820623,0,0
pre4post4,-0.35614986348299,0.502158936394185,0.631158449459077,0.859367474909941,0.444562047695986,-0.0397044914521669,0,0
pre4post4,0.302754926654989,0.192111279612122,0.658838237621024,0.490189105537816,0.669024223294906,-0.0172935233331556,0,0
pre4post4,0.121084675128926,0.982354579603868,0.29470142981174,0.16120257586704,0.620344973390414,0.544367146737664,0,0
pre4post4,0.618843125484793,0.495122077040054,0.509285325837328,0.298044903943698,0.860647365948622,-0.00371056962020267,0,0
pre4post4,-0.0559219376525128,0.944390568155918,0.507137000986441,0.588618882043698,0.595195281071539,0.209590652783185,0,0
pre4post4,-0.187808357045895,0.173715470739434,-0.386946769611015,-0.376834118425529,-0.59607751380146,0.350218970313719,0,0
pre4post4,0.402127561085103,-0.237776206201112,0.44420889171793,0.483331442048125,0.0268143795187126,0.0262017009638736,0,0
pre4post4,-0.204530067286211,0.793542576354449,0.561143654185012,0.739890558298979,0.612398712563046,-0.14395558744978,0,0
pre4post4,-0.329678663007093,0.33494705387412,0.0754127536305372,-0.0178845350579779,0.0605291340075986,1.14133582773723,0,0
pre4post4,-0.186638652549867,0.664299691136704,0.226977260924612,-0.215622415301568,0.530899437293158,0.696864919573621,0,0
pre4post4,0.435336415002109,0.887545404327604,0.116705245745852,0.0946745751589214,0.795509807022197,0.114327458824374,0,0
pre4post4,-0.186068415681221,-0.00231814264324525,-0.0011052923234717,0.0126010695820696,-0.116462678320597,1.76539051618958,0,0
pre4post4,0.492274396819798,0.182950198478434,0.411779303046573,0.241411250023078,0.201170586313363,1.14242687361914,0,0
pre4post4,0.522375760388681,0.975623704845253,0.569491158550494,0.91685743068183,0.662429913083931,0.0955012917666119,0,0
pre4post4,0.845951505111171,0.785762492118382,0.0453748120872394,0.741229821972849,0.645183159899909,0.581806679712313,0,0
pre4post4,0.272975236497324,0.180897412313588,0.242140487664999,-0.13907164632624,0.38521412276696,0.778911656474354,0,0
pre4post4,0.989996996221877,0.204008379776349,0.237473400840856,0.313261222744127,1.00847266614607,-0.0392681322251929,0,0
pre4post4,0.544497342072017,0.283554581141947,0.103027401853592,0.315131720000995,0.0954695157315629,0.34669681525724,0,0
pre4post4,0.263695630563898,0.286889364858334,0.743731629134904,0.457099872789855,0.496351699377631,0.195291872012702,0,0
pre4post4,-0.148634794631459,0.123751007412559,0.331356945469558,0.161228169889482,0.250523865534765,0.428797558796458,0,0
pre4post4,0.00387898700118129,0.155415712668654,0.684846698746033,0.085940005452038,0.411628578554987,-0.459215067296062,0,0
pre4post4,0.256648986730546,0.0939539922374888,0.00745409755763083,-0.304792476079773,0.310901453272265,0.143464398957598,0,0
pre4post4,0.268377056418989,0.852683044763052,-0.142024622040524,-0.098144132447629,0.984193665036992,0.237787710002324,0,0
pre4post4,0.197026437920583,0.57507129939541,0.42976479854658,1.15922821177755,0.706702746655696,0.086741131292528,0,0
pre4post4,-0.417345475157902,1.0800909642838,0.679336491646367,0.119883022133889,0.476719677690981,0.664552584309423,0,0
pre4post4,2.21630536456596,-0.407879076125558,0.204251162582948,0.286490119280633,0.565821557221826,0.291660953715853,0,0
pre4post4,0.552519170348882,-0.0862323337631966,0.318440571744032,0.0660812640355724,0.268390026591364,0.581505375371482,0,0
