schedule,pos1,pos2,pos3,pos4
pre3post3,0.666666666666667,0.833333333333333,1,0.5
pre3post4,0.666666666666667,0.833333333333333,0.833333333333333,0.666666666666667
pre4post3,0.666666666666667,0.833333333333333,0.666666666666667,0.833333333333333
pre4post4,0.666666666666667,0.833333333333333,0.5,1
