dmpfc,tpjleft,tpjright,vmpfc,Amy_Ce,Amy_B
384.6018732,227.1515624,261.0192334,626.4269095,200.3296732,160.2984047
313.8375127,20.47177241,-78.01875934,-499.0101785,-665.3089472,-1145.677641
-193.1648054,262.3486018,-181.1652157,584.7822626,575.7923273,499.6926751
-24.03453417,-83.65049571,-27.25319902,-548.7856485,-71.5428169,-177.8314486
-81.57276529,378.2549036,209.9283223,413.0376543,-45.41555202,-91.08121444
354.6292376,236.5589464,263.7609086,108.150521,468.5053489,559.9448689
-444.0106971,-0.687358592,-109.148467,-530.0737768,86.30028845,106.0086712
498.4882917,196.9463473,-255.9678569,-445.5451968,246.2691956,516.7848457
573.5603767,96.77075075,-176.3705745,-112.7505619,140.9350219,-22.53944219
-73.96201628,-122.6431626,-121.236269,80.88040676,-189.2747782,188.3293173
321.3517651,63.00168124,162.2111987,-5.511129401,113.4855436,83.55905168
-761.5336729,-213.9375185,-400.0876448,100.1854132,0.131721127,-461.1832613
-71.58622291,499.0330126,531.9610235,1379.16926,504.8449503,174.5188581
108.3709152,47.04935617,188.6983169,875.9438842,103.8351807,525.1523944
189.5209364,412.9007811,467.1767464,559.8278795,-306.1489292,-406.4212395
367.5077681,64.57336041,236.2559375,333.0883809,-190.5358097,-181.1729759
299.8145008,-60.33028654,-547.0090822,-487.9617712,-346.2632682,-390.229296
341.693426,382.2411816,292.8855715,1083.201135,110.8391733,278.6157997
-166.8903606,3.63077787,-114.7518837,-300.8928569,91.46128273,-190.1392886
-1218.370529,-150.1374631,-245.0982378,-681.0422571,-902.941061,-1449.471513
271.8556949,1127.279231,854.9919487,1013.067583,581.3882577,723.5087333
-89.3153349,-74.7074294,173.3097743,-197.5765041,1187.981109,900.3424444
679.6749989,339.8845698,76.61018006,3774.261848,-138.581637,933.9776442
257.1616813,338.3385879,594.0037292,1030.20736,14.29021442,-372.013006
161.8479423,130.1649376,-22.22248903,-106.170922,-309.1351977,-187.5961859
-209.570386,-815.5019896,-522.132427,-662.1794822,117.9304433,49.8655661
-77.19897704,-242.0049688,-556.2848229,-222.3953076,-165.5792161,-306.501696
305.7377043,-119.4945241,74.1951188,-67.16073026,-109.8270501,-414.225548
-586.7396541,559.5146969,960.4129075,609.7959012,125.6585445,-71.56812235
1038.735846,758.4338938,62.48086338,809.2001861,547.6128449,453.4292789
-72.05576937,332.0816596,19.43299892,1320.030149,415.9060177,235.8041971
-1080.787022,-593.1706649,-476.1087765,-514.3673516,-461.2308502,-454.4544109
338.3474789,244.5953869,395.4695848,1086.623015,627.5397565,-27.52274209
-806.4910454,-403.4096727,-155.6043176,198.6338644,-64.67819589,-12.88171433
632.1457196,233.7138176,424.5591504,-368.6687287,-201.982457,-330.146534
284.3398942,588.7276001,210.8162599,1176.139594,542.1252169,549.7427491
-134.7734183,-827.4239035,-525.4922271,-1216.928011,-262.1481658,-366.3842544
-227.9092463,-240.0513508,-216.701572,394.5492466,-295.3823548,191.0761423
511.3018716,93.11657344,203.6800387,314.9405166,-223.8359317,-376.5781464
677.2961296,335.9340645,153.4592918,-160.4041571,-2.895419798,65.54588766
-197.8797268,-123.1170768,-217.5487147,-197.2269377,-323.8486765,-200.8037288
-82.93595585,-104.6090147,94.90699156,249.9552172,-134.7614761,-259.6619557
270.8601007,66.82254467,96.40353386,-242.9838978,346.7838074,493.1219238
-386.5900639,-5.332153846,276.8815892,1357.93905,397.6652077,442.072162
-593.8182618,-31.61331014,-293.3189983,-469.3550274,-115.1235765,-59.48113587
-366.30017,-346.3928228,-693.8939116,-186.6151803,226.1756558,63.53016554
426.422877,438.3309205,349.2489898,610.796783,388.4149075,542.571462
-362.9122416,422.4519585,431.8026721,634.9671402,52.06500238,221.5855969
11.70254046,314.7619213,263.5073847,371.1788908,-309.591897,-320.0930292
657.1909309,227.2963481,631.3298738,-35.89119235,3.709446507,64.76233683
-1907.817002,-600.0040275,-525.9004165,1462.612489,-451.2388474,610.2715945
-457.1087596,-125.0600396,-71.26687434,392.8028014,-27.98905136,110.7393346
527.953395,212.7447572,-277.4456939,616.8707525,118.9104029,-242.9782197
-482.015631,267.8405412,-151.5229447,-231.1490005,-525.5887939,-291.3242973
-381.9994725,-1.159741833,175.0529792,31.36561044,19.11352917,69.85614681
1076.917329,73.97860352,927.2958758,877.0842674,526.3458823,821.3667785
