Motor-DV in vmpfc
3.332361
27.305349
54.635716
6.44152
-36.529664
47.655499
50.786442
29.498139
31.932621
-1.560803
26.89481
22.773627
83.258688
-19.338321
15.099856
7.708412
-37.206857
-13.856529
22.144111
-13.16809
78.057145
92.05092
-29.99793
32.492987
-93.381208
-31.859324
35.328637
68.217921
13.411981
15.765709
11.997621
21.413066
